model,gpus,n,m,mean_time_ms,gflops
cunumeric,1,2000,2000,72.000495,111.110347
cunumeric,2,2828,2828,73.242325,308.799148
cunumeric,4,4000,4000,74.149632,863.119590
cunumeric,8,5657,5657,102.205165,1771.273775
diffeq,1,2000,2000,19.526788,409.693581
diffeq,2,2828,2828,23.059965,980.797994
diffeq,4,4000,4000,24.123596,2653.004116
diffeq,8,5657,5657,29.425312,6152.299358
cupynumeric,1,2000,2000,11.820374,676.797536
cupynumeric,2,2828,2828,11.260184,2008.596623
cupynumeric,4,4000,4000,20.358469,3143.654859
cupynumeric,8,5657,5657,48.699797,3717.332300
