model,gpus,n,m,mean_time_ms,gflops
cuPyNumeric,1,2000,2000,10.078765,793.748044
ImplicitGlobalGrid.jl,1,2000,2000,0.604253,13239.486257
cuNumeric.jl,1,2000,2000,14.441852,553.945574
cuPyNumeric,2,2828,2828,9.056962,2497.213475
ImplicitGlobalGrid.jl,2,2828,2828,1.203443,18793.716533
cuNumeric.jl,2,2828,2828,14.440924,1566.185623
cuPyNumeric,4,4000,4000,18.141343,3527.853478
ImplicitGlobalGrid.jl,4,4000,4000,2.665783,24007.954133
cuNumeric.jl,4,4000,4000,27.784517,2303.441158
cuPyNumeric,8,5657,5657,45.456077,3982.599035
ImplicitGlobalGrid.jl,8,5657,5657,4.924396,36762.544481
cuNumeric.jl,8,5657,5657,92.912692,1948.424101

