model,gpus,n,m,mean_time_ms,gflops
cuPyNumeric,1,2000,2000,15.125785,528.898170
cuNumeric.jl (new GC),1,2000,2000,16.461949,485.969189
cuNumeric.jl (old approach),1,2000,2000,27.213450,293.972282
cuPyNumeric,2,2828,2828,21.691833,1042.658200
cuNumeric.jl (new GC),2,2828,2828,22.356760,1011.647822
cuNumeric.jl (old approach),2,2828,2828,23.737669,952.796484
cuPyNumeric,4,4000,4000,33.511598,1909.786576
cuNumeric.jl (new GC),4,4000,4000,40.827567,1567.568305
cuNumeric.jl (old approach),4,4000,4000,39.538927,1618.657987
cuPyNumeric,8,5657,5657,69.641303,2599.510931
cuNumeric.jl (new GC),8,5657,5657,96.019360,1885.383618
cuNumeric.jl (old approach),8,5657,5657,98.253540,1842.512019
