model,gpus,n,m,mean_time_ms,gflops
cuPyNumeric,1,2000,2000,15.125785,528.898170
cuNumeric.jl,1,2000,2000,16.461949,485.969189
ImplicitGlobalGrid.jl,1,2000,2000,0.604253,13239.486257
cuPyNumeric,2,2828,2828,21.691833,1042.658200
cuNumeric.jl,2,2828,2828,22.356760,1011.647822
ImplicitGlobalGrid.jl,2,2828,2828,1.203443,18793.716533
cuPyNumeric,4,4000,4000,33.511598,1909.786576
cuNumeric.jl,4,4000,4000,40.827567,1567.568305
ImplicitGlobalGrid.jl,4,4000,4000,2.665783,24007.954133
cuPyNumeric,8,5657,5657,69.641303,2599.510931
cuNumeric.jl,8,5657,5657,96.019360,1885.383618
ImplicitGlobalGrid.jl,8,5657,5657,4.924396,36762.544481
